id;name;description;stock;price_per_unit;created_at;updated_at
1;Ohio Fish;Mouse Tuna User-friendly;95930;42133;2021-04-17T07:46:44;2021-04-17T17:42:14
2;Underpass Self-enabling Face to face;pink SMS Group;56670;31792;2021-04-17T17:22:42;2021-04-17T06:09:20
3;application Regional;Chicken;39256;28081;2021-04-17T10:31:09;2021-04-17T11:40:28
4;implementation structure;reboot Granite;61146;71939;2021-04-17T10:01:09;2021-04-17T06:28:29
5;Licensed Concrete Shirt Home Loan Account;Ergonomic disintermediate Missouri;5306;38408;2021-04-17T09:11:54;2021-04-16T23:54:27
6;Investor;EXE Arizona Fantastic Cotton Keyboard;87309;62393;2021-04-17T18:24:45;2021-04-17T17:32:00
7;Metal Re-contextualized Practical Metal Shoes;Costa Rican Colon Officer Vatu;46037;48890;2021-04-16T22:13:07;2021-04-17T12:18:05
8;web services Internal supply-chains;copying metrics;88927;32848;2021-04-16T22:59:33;2021-04-17T07:20:58
9;support;grey navigate;65119;91659;2021-04-16T22:15:00;2021-04-17T11:40:29
10;Principal bifurcated;e-business grey;44051;31256;2021-04-16T23:22:11;2021-04-17T12:18:54
