id;title;description;status;created_at
1;Maryland bypassing Integration;Intuitive Handmade;APPROVED;2021-04-17T08:48:20
2;Savings Account synergies;Tasty compress;APPROVED;2021-04-17T00:28:19
3;backing up Orchestrator;Pants Concrete;APPROVED;2021-04-17T16:40:43
4;deposit Unbranded Cotton;Salad Avon Architect;APPROVED;2021-04-17T15:38:34
5;hard drive asymmetric;Generic data-warehouse;APPROVED;2021-04-17T10:59:40
6;Point Azerbaijanian Manat Incredible;Assurance monetize XSS;WAITING_FOR_HR;2021-04-17T21:24:36
7;Seamless;Strategist well-modulated;APPROVED;2021-04-17T08:48:11
8;innovative Licensed;Handmade Berkshire 1080p;WAITING_FOR_IT;2021-04-17T01:40:46
9;dynamic SSL;asymmetric killer Chief;WAITING_FOR_HR;2021-04-17T00:34:41
10;programming copying Gorgeous;back-end withdrawal;WAITING_FOR_HR;2021-04-17T12:06:33
