id;name;created_at;updated_at;sector_id
1;Backend Engineer;2021-04-17T00:05:07;2021-04-17T10:14:55;1
2;Frontend Engineer;2021-04-17T00:47:17;2021-04-16T23:11:30;1
3;iOS Engineer;2021-04-17T18:56:19;2021-04-17T02:08:19;1
4;Android Engineer;2021-04-17T19:26:00;2021-04-17T13:28:18;1
5;bus Polarised;2021-04-17T11:43:36;2021-04-17T03:17:32;2
6;Points evolve Internal;2021-04-17T07:36:36;2021-04-17T19:17:35;3
7;info-mediaries Florida;2021-04-17T04:33:45;2021-04-17T15:17:47;4
8;COM Auto Loan Account Armenian Dram;2021-04-17T05:28:08;2021-04-17T14:30:18;5
9;whiteboard system;2021-04-17T03:58:51;2021-04-17T15:14:31;6
10;Producer;2021-04-17T12:57:53;2021-04-17T10:01:44;7
