id;title;description;image;image_content_type;created_at;updated_at
1;Danish Krone;Metal;../fake-data/blob/hipster.png;image/png;Intelligent Wooden Salad Myanmar Ohio;Oklahoma Vista
2;Taka Pa'anga;Industrial Practical Plastic Pants Buckinghamshire;../fake-data/blob/hipster.png;image/png;whiteboard open-source back up;back up Open-architected web services
3;CSS parsing Analyst;data-warehouse;../fake-data/blob/hipster.png;image/png;override COM quantify;transmitting XML unleash
4;protocol Zambian Kwacha Liechtenstein;Personal Loan Account;../fake-data/blob/hipster.png;image/png;recontextualize Russian Ruble revolutionize;Berkshire
5;revolutionary Lead intermediate;extensible calculating;../fake-data/blob/hipster.png;image/png;Lakes methodology;leading-edge payment
6;Markets Togo;Florida port red;../fake-data/blob/hipster.png;image/png;Bedfordshire Tasty;client-driven Agent
7;Bedfordshire Berkshire;Intelligent Small Cotton Cheese Human;../fake-data/blob/hipster.png;image/png;matrix;framework Pennsylvania Marketing
8;Tactics Louisiana;Accounts;../fake-data/blob/hipster.png;image/png;coherent Gorgeous Steel Salad Profound;IB sensor
9;Home Loan Account;customer loyalty;../fake-data/blob/hipster.png;image/png;Unbranded Soft withdrawal;Macedonia Steel
10;transmitting;Engineer;../fake-data/blob/hipster.png;image/png;Avon Bedfordshire;Investment Account Kazakhstan
