id;name;created_at;updated_at
1;Delivery;2021-04-17T11:14:32;2021-04-17T17:17:58
2;Marketing;2021-04-17T21:39:58;2021-04-17T17:07:04
3;Human resources;2021-04-16T23:42:00;2021-04-17T17:22:44
4;Administracija;2021-04-17T06:08:28;2021-04-17T05:40:08
5;Dizajn;2021-04-17T00:50:53;2021-04-17T19:05:34
6;Project management;2021-04-17T17:32:49;2021-04-17T14:51:25
7;Management;2021-04-16T22:52:36;2021-04-16T23:38:17
8;Coordinator capacitor Health;2021-04-17T12:06:19;2021-04-17T12:31:29
9;Division Delaware;2021-04-17T10:21:19;2021-04-17T19:27:11
10;Chips compress;2021-04-17T16:52:05;2021-04-17T11:42:41
