id;name;address;phone_number;active;created_at;updated_at
1;Representative;payment Avon;harness technologies;true;2021-04-17T07:48:39;2021-04-17T13:50:19
2;initiatives;USB Uzbekistan Sum;matrix;true;2021-04-17T19:13:27;2021-04-17T00:59:57
3;Integrated overriding;backing up Avon;Concrete invoice;false;2021-04-17T15:45:23;2021-04-17T06:06:20
4;Grocery Steel content-based;high-level quantifying;program Dynamic;true;2021-04-17T08:22:53;2021-04-17T13:47:59
5;Developer eco-centric;platforms;Home Loan Account red bypassing;false;2021-04-16T23:13:48;2021-04-17T12:28:59
6;pixel focus group Shirt;1080p;Monitored copying Lakes;true;2021-04-17T14:43:15;2021-04-17T13:29:45
7;indexing deposit driver;Hills Delaware;generating;false;2021-04-16T23:29:44;2021-04-17T04:00:12
8;Integrated;enhance;Sports;false;2021-04-17T05:42:19;2021-04-17T15:30:30
9;Vista clicks-and-mortar;wireless TCP HTTP;Underpass Senior Kazakhstan;true;2021-04-17T11:39:50;2021-04-17T18:18:14
10;generating;innovate Group User-centric;Jewelery;true;2021-04-17T08:25:05;2021-04-16T23:38:10
